CustomerID,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_string,rfm_total_score,segment,Country
14482,19,12,4306.72,5,5,5,555,15,Champions,"United Kingdom"
15861,13,12,4360.90,5,5,5,555,15,Champions,"United Kingdom"
18230,10,9,4291.06,5,5,5,555,15,Champions,"United Kingdom"
16333,8,22,26626.80,5,5,5,555,15,Champions,"United Kingdom"
13069,1,38,9284.45,5,5,5,555,15,Champions,"United Kingdom"
15727,17,15,9371.71,5,5,5,555,15,Champions,"United Kingdom"
15502,16,12,9542.92,5,5,5,555,15,Champions,"United Kingdom"
14525,20,17,8018.59,5,5,5,555,15,Champions,"United Kingdom"
14334,17,12,4318.48,5,5,5,555,15,Champions,"United Kingdom"
12913,5,13,6283.24,5,5,5,555,15,Champions,"United Kingdom"
15571,12,14,3892.35,5,5,5,555,15,Champions,"United Kingdom"
13426,1,22,8167.38,5,5,5,555,15,Champions,"United Kingdom"
13199,4,66,15949.21,5,5,5,555,15,Champions,"United Kingdom"
17231,13,25,7064.80,5,5,5,555,15,Champions,"United Kingdom"
16265,10,12,6935.17,5,5,5,555,15,Champions,"United Kingdom"
12989,4,33,13551.75,5,5,5,555,15,Champions,"United Kingdom"
14096,5,17,65164.79,5,5,5,555,15,Champions,"United Kingdom"
15351,13,10,3430.22,5,5,5,555,15,Champions,"United Kingdom"
16161,2,43,12580.06,5,5,5,555,15,Champions,"United Kingdom"
16670,17,20,8030.15,5,5,5,555,15,Champions,"United Kingdom"
13571,13,26,4537.26,5,5,5,555,15,Champions,"United Kingdom"
14534,3,26,6183.06,5,5,5,555,15,Champions,"United Kingdom"
17857,5,23,25769.54,5,5,5,555,15,Champions,"United Kingdom"
16931,6,23,5032.22,5,5,5,555,15,Champions,"United Kingdom"
16722,18,22,8189.56,5,5,5,555,15,Champions,"United Kingdom"
12705,16,14,11762.10,5,5,5,555,15,Champions,Germany
14217,2,23,3298.59,5,5,5,555,15,Champions,"United Kingdom"
17700,17,14,6679.97,5,5,5,555,15,Champions,"United Kingdom"
15482,16,18,14377.36,5,5,5,555,15,Champions,"United Kingdom"
16255,17,15,4530.00,5,5,5,555,15,Champions,"United Kingdom"
14060,5,30,8898.24,5,5,5,555,15,Champions,"United Kingdom"
14878,13,25,4076.50,5,5,5,555,15,Champions,"United Kingdom"
17049,3,19,9942.53,5,5,5,555,15,Champions,"United Kingdom"
18102,1,145,580987.04,5,5,5,555,15,Champions,"United Kingdom"
15547,8,26,10002.65,5,5,5,555,15,Champions,"United Kingdom"
12681,15,45,29834.76,5,5,5,555,15,Champions,France
14194,5,36,18670.59,5,5,5,555,15,Champions,"United Kingdom"
12957,10,13,8706.97,5,5,5,555,15,Champions,"United Kingdom"
14796,2,27,10167.77,5,5,5,555,15,Champions,"United Kingdom"
16983,13,11,3490.53,5,5,5,555,15,Champions,"United Kingdom"
16539,3,10,3289.66,5,5,5,555,15,Champions,"United Kingdom"
17730,4,20,7773.80,5,5,5,555,15,Champions,"United Kingdom"
13266,12,19,6135.04,5,5,5,555,15,Champions,"United Kingdom"
12748,1,325,49948.16,5,5,5,555,15,Champions,"United Kingdom"
16242,9,14,7404.65,5,5,5,555,15,Champions,"United Kingdom"
14825,4,24,4735.08,5,5,5,555,15,Champions,"United Kingdom"
17001,1,19,6640.80,5,5,5,555,15,Champions,"United Kingdom"
15854,5,21,5578.28,5,5,5,555,15,Champions,"United Kingdom"
18044,5,18,3505.61,5,5,5,555,15,Champions,"United Kingdom"
13854,9,39,11944.56,5,5,5,555,15,Champions,"United Kingdom"
16839,9,44,21758.25,5,5,5,555,15,Champions,"United Kingdom"
13769,3,20,5478.12,5,5,5,555,15,Champions,"United Kingdom"
17618,6,11,4001.64,5,5,5,555,15,Champions,"United Kingdom"
15152,10,14,5263.83,5,5,5,555,15,Champions,"United Kingdom"
17920,5,54,23569.88,5,5,5,555,15,Champions,"United Kingdom"
17677,2,54,35058.46,5,5,5,555,15,Champions,"United Kingdom"
12971,4,116,15704.60,5,5,5,555,15,Champions,"United Kingdom"
14049,17,13,13023.40,5,5,5,555,15,Champions,"United Kingdom"
17404,5,23,47751.12,5,5,5,555,15,Champions,Sweden
13988,20,8,4757.80,5,5,5,555,15,Champions,"United Kingdom"
14456,6,9,3014.32,5,5,5,555,15,Champions,"United Kingdom"
13263,2,39,8665.98,5,5,5,555,15,Champions,"United Kingdom"
14056,2,23,8152.71,5,5,5,555,15,Champions,"United Kingdom"
15687,9,9,2993.10,5,5,5,555,15,Champions,"United Kingdom"
13758,12,14,8595.29,5,5,5,555,15,Champions,"United Kingdom"
13113,1,37,18230.07,5,5,5,555,15,Champions,"United Kingdom"
14709,16,25,8886.33,5,5,5,555,15,Champions,"United Kingdom"
15544,10,20,7807.89,5,5,5,555,15,Champions,"United Kingdom"
14191,2,15,4817.66,5,5,5,555,15,Champions,"United Kingdom"
12490,6,21,9823.64,5,5,5,555,15,Champions,France
17449,3,13,4865.15,5,5,5,555,15,Champions,"United Kingdom"
17675,2,70,37642.48,5,5,5,555,15,Champions,"United Kingdom"
12877,4,20,2942.14,5,5,5,555,15,Champions,"United Kingdom"
15150,18,13,8977.94,5,5,5,555,15,Champions,"United Kingdom"
15159,2,34,22116.73,5,5,5,555,15,Champions,"United Kingdom"
16191,3,24,15677.82,5,5,5,555,15,Champions,"United Kingdom"
14732,9,19,5517.07,5,5,5,555,15,Champions,"United Kingdom"
16712,10,13,4225.22,5,5,5,555,15,Champions,"United Kingdom"
14209,11,15,4993.27,5,5,5,555,15,Champions,"United Kingdom"
17685,17,12,5454.95,5,5,5,555,15,Champions,"United Kingdom"
13999,11,29,9502.26,5,5,5,555,15,Champions,"United Kingdom"
15628,5,17,5333.08,5,5,5,555,15,Champions,"United Kingdom"
13488,18,23,14205.96,5,5,5,555,15,Champions,"United Kingdom"
13269,2,28,8537.32,5,5,5,555,15,Champions,"United Kingdom"
15311,1,207,114671.42,5,5,5,555,15,Champions,"United Kingdom"
17389,1,61,57215.33,5,5,5,555,15,Champions,"United Kingdom"
15218,11,22,11453.83,5,5,5,555,15,Champions,"United Kingdom"
16057,17,10,3854.85,5,5,5,555,15,Champions,"United Kingdom"
13018,17,35,9763.16,5,5,5,555,15,Champions,"United Kingdom"
14032,3,16,4546.41,5,5,5,555,15,Champions,"United Kingdom"
15271,8,24,4528.54,5,5,5,555,15,Champions,"United Kingdom"
16353,4,38,9795.46,5,5,5,555,15,Champions,"United Kingdom"
13881,4,43,45179.10,5,5,5,555,15,Champions,"United Kingdom"
17364,1,28,11972.92,5,5,5,555,15,Champions,"United Kingdom"
17091,3,19,7495.75,5,5,5,555,15,Champions,"United Kingdom"
12662,1,20,6726.54,5,5,5,555,15,Champions,Germany
17954,6,19,3801.83,5,5,5,555,15,Champions,"United Kingdom"
13004,12,36,11650.85,5,5,5,555,15,Champions,"United Kingdom"
15061,4,127,126387.57,5,5,5,555,15,Champions,"United Kingdom"
18241,10,21,2986.99,5,5,5,555,15,Champions,"United Kingdom"
16523,2,28,11916.33,5,5,5,555,15,Champions,"United Kingdom"
15601,12,30,14191.74,5,5,5,555,15,Champions,"United Kingdom"
14766,9,11,6375.73,5,5,5,555,15,Champions,"United Kingdom"
16748,18,14,3637.33,5,5,5,555,15,Champions,"United Kingdom"
13680,2,12,11419.67,5,5,5,555,15,Champions,"United Kingdom"
13468,2,72,12793.28,5,5,5,555,15,Champions,"United Kingdom"
14243,9,17,7217.75,5,5,5,555,15,Champions,"United Kingdom"
17526,5,12,3939.24,5,5,5,555,15,Champions,"United Kingdom"
14866,11,18,20736.54,5,5,5,555,15,Champions,"United Kingdom"
14649,5,9,3651.19,5,5,5,555,15,Champions,"United Kingdom"
16365,18,15,3167.34,5,5,5,555,15,Champions,"United Kingdom"
13102,2,37,11380.10,5,5,5,555,15,Champions,"United Kingdom"
17602,3,14,7354.43,5,5,5,555,15,Champions,"United Kingdom"
15373,9,17,3084.54,5,5,5,555,15,Champions,"United Kingdom"
15750,3,18,6452.99,5,5,5,555,15,Champions,"United Kingdom"
16592,5,28,7807.91,5,5,5,555,15,Champions,"United Kingdom"
16145,9,19,6805.44,5,5,5,555,15,Champions,"United Kingdom"
16133,4,56,22992.26,5,5,5,555,15,Champions,"United Kingdom"
14515,18,12,3724.06,5,5,5,555,15,Champions,"United Kingdom"
18109,2,38,9555.71,5,5,5,555,15,Champions,"United Kingdom"
14713,10,21,5115.36,5,5,5,555,15,Champions,"United Kingdom"
16905,6,17,4704.27,5,5,5,555,15,Champions,"United Kingdom"
15769,8,46,88612.52,5,5,5,555,15,Champions,"United Kingdom"
16701,9,26,9916.73,5,5,5,555,15,Champions,"United Kingdom"
16458,3,30,5690.89,5,5,5,555,15,Champions,"United Kingdom"
13408,2,106,50174.78,5,5,5,555,15,Champions,"United Kingdom"
14401,5,22,6795.90,5,5,5,555,15,Champions,"United Kingdom"
12683,5,21,11633.70,5,5,5,555,15,Champions,France
13174,17,12,7987.46,5,5,5,555,15,Champions,"United Kingdom"
13048,15,9,4049.13,5,5,5,555,15,Champions,"United Kingdom"
14258,10,25,32051.34,5,5,5,555,15,Champions,"United Kingdom"
13268,18,10,3152.71,5,5,5,555,15,Champions,"United Kingdom"
14895,8,38,25119.54,5,5,5,555,15,Champions,"United Kingdom"
17068,13,47,8980.18,5,5,5,555,15,Champions,"United Kingdom"
15953,16,18,3440.34,5,5,5,555,15,Champions,"United Kingdom"
15497,18,9,8657.39,5,5,5,555,15,Champions,"United Kingdom"
