yr,mn,total_orders,active_customers,monthly_revenue,avg_line_revenue
2009,12,1506,954,681297.57,22.51
2010,1,1000,718,540181.50,25.19
2010,2,1098,771,500872.57,21.77
2010,3,1512,1053,669697.27,21.12
2010,4,1322,941,589320.56,22.00
2010,5,1371,966,596267.12,21.14
2010,6,1490,1037,633585.65,20.66
2010,7,1372,926,585043.46,21.98
2010,8,1284,910,598102.05,23.00
2010,9,1668,1139,810358.81,23.77
2010,10,2116,1493,1019025.50,20.93
2010,11,2584,1606,1165467.56,19.80
2010,12,1398,885,570194.56,22.24
2011,1,985,739,568006.91,27.08
2011,2,993,757,445659.59,22.63
2011,3,1315,973,589168.85,21.95
2011,4,1142,855,458265.83,20.45
2011,5,1548,1055,673052.24,23.99
2011,6,1392,990,659274.94,24.50
2011,7,1325,947,597415.13,22.50
2011,8,1277,934,641061.50,23.94
2011,9,1751,1264,947258.96,23.89
2011,10,1914,1362,1014458.82,20.81
2011,11,2650,1662,1153219.29,18.27
2011,12,778,615,516770.34,30.36
