StockCode,Description,times_ordered,total_quantity_sold,total_revenue,avg_unit_price,unique_customers
22423,"REGENCY CAKESTAND 3 TIER",3317,24124,277656.25,12.46,1314
85123A,"WHITE HANGING HEART T-LIGHT HOLDER",4888,91757,247048.01,2.87,1490
85099B,"JUMBO BAG RED RETROSPOT",2612,74224,134307.44,1.97,860
84879,"ASSORTED COLOUR BIRD ORNAMENT",2652,78234,124351.86,1.68,1010
47566,"PARTY BUNTING",2077,23460,103283.38,4.77,894
23166,"MEDIUM CERAMIC TOP STORAGE JAR",195,77916,81416.73,1.22,138
22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",1691,28380,76598.18,2.92,896
79321,"CHILLI LIGHTS",922,14843,69084.30,5.15,304
85099F,"JUMBO BAG STRAWBERRY",1514,35842,64127.77,1.96,549
21137,"BLACK RECORD COVER FRAME",539,18417,63092.12,3.63,198
84347,"ROTATING SILVER ANGELS T-LIGHT HLDR",525,28606,55880.17,2.57,300
82484,"WOOD BLACK BOARD ANT WHITE FINISH",1048,9678,54525.36,6.96,451
21621,"VINTAGE UNION JACK BUNTING",1121,6497,54432.62,8.50,583
15056N,"EDWARDIAN PARASOL NATURAL",863,10948,54332.61,5.79,347
85099C,"JUMBO  BAG BAROQUE BLACK WHITE",1449,28899,52188.18,1.96,506
23084,"RABBIT NIGHT LIGHT",801,27153,51251.24,2.01,450
22470,"HEART OF WICKER LARGE",1743,17104,49859.50,2.94,827
21733,"RED HANGING HEART T-LIGHT HOLDER",1631,17228,48850.60,2.92,744
21931,"JUMBO STORAGE BAG SUKI",1714,25970,47760.99,1.97,546
22189,"CREAM HEART CARD HOLDER",1129,15946,47414.20,3.88,536
